Sample	Heading_date(days)|Hainan|2010	Plant_height(cm)|Hainan|2010	Peduncle_length(cm)|Hainan|2010	Panicle_length_per_main_stem(mm)|Hainan|2010	Bristle_length(mm)|Hainan|2010	Diameter_of_main_stem(cm)|Hainan|2010	Panicle_diameter(mm)|Hainan|2010	Stem_node_number|Hainan|2010	Tiller_number|Hainan|2010	Branch_number_per_plant|Hainan|2010	Number_of_total_panicles_per_plant|Hainan|2010	Leaf_sheath_color|Hainan|2010	Leaf_pulvinus_color|Hainan|2010	Bristle_color|Hainan|2010	Weight_per_panicle(g)|Hainan|2010	Grain_weight(g)|Hainan|2010	Panicle_shape|Hainan|2010
WGS0612	54	85	27.7	12.5	3	6.42	22.28	8	0	0	1	3	2	2	11.78	7.79	NA
WGS0613	43	79	27.7	13.3	2	4.81	16.46	6	1	0	3	4	3	3	6.02	4.77	NA
WGS0614	50	96.7	25	13.3	3	5.99	16.68	9	1	0	3	3	2	2	6.54	4.58	NA
WGS0615	50	98	29.5	11.8	4	5.87	16.26	9	2	0	3	2	2	2	5.1	2.88	NA
WGS0616	43	69.3	24.7	12	2	5.28	18.08	6	0	0	1	2	2	3	5.41	3.81	NA
WGS0617	37	59.3	25.3	10.5	3	4.21	16	5	0	0	1	5	3	3	5.37	4.04	NA
WGS0618	40	67.3	27	12	1	5.3	16.82	6	0	0	1	4	3	3	5.14	3.64	NA
WGS0619	41	83.3	27.3	14.3	1	5.34	17.54	6	0	0	1	2	2	3	7.11	5.3	NA
WGS0620	45	87.3	24.8	13.3	1	5.66	18.5	7	0	0	1	4	3	3	7.39	5.59	NA
WGS0621	45	89.3	25	17.7	5	5.86	18.88	8	0	0	1	4	3	3	9	7.11	NA
WGS0622	42	80.3	28.3	12.2	1	5.45	21.78	7	0	0	1	2	2	2	6.19	4.55	NA
WGS0623	37	63.7	18	15.3	3	4.71	18	6	0	0	1	2	3	3	5.66	4.33	NA
WGS0624	34	58.3	29.7	9.2	1	4.46	15.42	5	1	2	4	3	3	3	2.03	1.02	NA
WGS0625	45	91	24.8	16.5	3	5.58	16.88	7	2	0	3	5	3	3	9.1	6.94	NA
WGS0626	46	94.3	23.8	14.8	1	6.34	17.88	8	1	0	2	2	3	3	5.96	4.66	NA
WGS0627	38	67.3	27.3	11.8	1	4.76	21.1	6	0	0	1	2	2	2	4.77	3.34	NA
WGS0628	45	77.7	22.7	19.7	5	5.03	16.62	6	1	0	2	3	3	3	8.16	6.36	NA
WGS0629	46	88.7	23	17	4	5.49	18	8	0	0	1	2	2	2	8.34	6.46	NA
WGS0630	42	82.3	28.3	12	1	5.35	16.12	7	0	0	1	2	2	2	5.88	4.37	NA
WGS0631	46	83.7	25.3	12.2	1	5.38	17.3	8	1	0	2	3	2	2	9.45	7.34	NA
WGS0632	46	92.3	28.2	13.5	1	5.67	20.82	8	0	0	1	2	3	3	4.87	2.88	NA
WGS0633	45	93	26	14.5	1	6.34	23.6	8	0	0	1	2	2	3	4.66	2.78	NA
WGS0634	39	67.3	23	11	2	3.86	13.82	5	2	0	3	2	2	3	2.97	2.4	NA
WGS0635	41	84.3	31.3	14.3	2	4.7	16.88	7	0	0	1	2	2	2	2.78	0.85	NA
WGS0636	52	102.3	26.7	12.2	3	7.01	22.52	9	0	0	1	3	2	2	11.4	9.37	NA
WGS0637	47	82.3	24.5	16.7	5	6.24	18.5	7	1	0	2	2	2	3	8.96	6.94	NA
WGS0638	42	76.7	29.3	15.7	1	6.65	17.66	7	0	0	1	2	2	3	6.95	5.35	NA
WGS0639	47	93.3	18.8	14.2	1	5.66	17.68	9	3	0	4	4	3	2	6.65	5.13	NA
WGS0640	42	87.7	27.7	12	1	5.76	19.6	8	1	0	2	4	3	3	7.09	5.65	NA
WGS0641	40	70.7	28	15.7	1	6.17	13.88	6	0	0	1	4	3	3	5.41	4.24	NA
WGS0642	51	102	22.5	13.3	3	7.28	30.46	9	0	0	1	3	2	2	11.51	8.56	NA
WGS0643	47	88	26	8.7	1	5.29	18.18	8	0	0	1	4	3	3	4.77	3.65	NA
WGS0644	50	105.3	24.2	14.2	1	6.37	20.8	9	0	0	1	3	2	2	8.01	6.25	NA
WGS0645	47	100.3	26.7	13.8	1	6.51	21.1	9	0	0	1	2	2	2	9.33	6.11	NA
