Sample	Heading_date(days)|Hainan|2010	Plant_height(cm)|Hainan|2010	Peduncle_length(cm)|Hainan|2010	Panicle_length_per_main_stem(mm)|Hainan|2010	Bristle_length(mm)|Hainan|2010	Diameter_of_main_stem(cm)|Hainan|2010	Panicle_diameter(mm)|Hainan|2010	Stem_node_number|Hainan|2010	Tiller_number|Hainan|2010	Branch_number_per_plant|Hainan|2010	Number_of_total_panicles_per_plant|Hainan|2010	Leaf_sheath_color|Hainan|2010	Leaf_pulvinus_color|Hainan|2010	Bristle_color|Hainan|2010	Weight_per_panicle(g)|Hainan|2010	Grain_weight(g)|Hainan|2010	Panicle_shape|Hainan|2010
WGS0778	40	73.3	36.2	13.2	1	4.33	18.04	6	0	0	1	2	2	2	7.07	5.26	NA
WGS0779	47	84.7	25.7	12.3	1	5.39	17.6	9	0	0	1	2	2	2	9.37	6.44	NA
WGS0780	44	69.7	18.8	10	1	5.64	22.46	8	0	0	1	4	3	3	10.62	7.59	NA
WGS0781	39	70.3	34.7	10	1	4.21	15.54	6	0	0	1	2	2	2	5.54	3.62	NA
WGS0782	41	65.3	30	11.5	1	5.4	17.74	6	0	0	1	2	2	2	8.28	5.37	NA
WGS0783	38	62.7	26.5	10.9	1	4.17	14.46	6	1	2	3	5	3	3	3.16	1.72	NA
WGS0784	43	84	27.7	13	1	4.84	16.86	7	0	0	1	2	2	2	8.06	4.76	NA
WGS0785	44	80	30.3	18.5	1	5.47	17.64	7	0	0	1	2	2	3	8.3	5.5	NA
WGS0786	44	70	27.7	14.8	1	4.93	14.5	6	0	0	1	5	3	3	6.46	4.26	NA
WGS0787	44	48.3	8.5	10	1	5.19	17.82	4	3	3	7	2	2	2	8.5	6.16	NA
WGS0788	41	71.7	29	12.8	1	4.34	14.86	6	2	0	3	2	2	3	5.54	3.6	NA
WGS0789	32	56.7	21.7	8.5	1	3.77	17.02	5	1	0	1	2	2	2	4.01	2.42	NA
WGS0790	46	76.3	24.3	10.3	1	4.47	15.94	8	0	0	1	5	3	3	5.03	3.48	NA
WGS0791	47	70.7	25.2	12.5	4	5.09	14.9	7	1	0	2	5	3	3	5.56	4.04	NA
WGS0792	46	77.7	31.2	12	3	5.48	16.86	7	0	0	1	5	3	3	5.49	3.62	NA
WGS0793	45	75.7	23.5	14.8	2	4.6	9.74	7	0	0	1	5	3	3	1.85	1.18	NA
WGS0794	46	80.7	32.3	11.3	2	6.27	17.02	8	1	0	2	5	3	3	6.69	5.06	NA
WGS0795	50	74.7	18.5	15.3	5	5.51	17.06	9	0	0	1	3	2	2	7.07	4.95	NA
WGS0796	43	83.3	31.7	10.5	2	5.59	18.24	7	0	0	1	2	2	2	7.4	4.34	NA
WGS0797	42	89.7	32.3	14.3	2	4.84	18.74	7	0	0	1	2	2	3	7.3	4.39	NA
WGS0798	41	76	30.3	13.8	2	4.72	15.58	6	0	0	1	4	3	3	5.9	4.28	NA
WGS0799	39	56.7	28	10	1	4.28	14.82	6	0	0	1	2	2	3	4.99	3.83	NA
WGS0800	51	78.7	24	16	4	5.87	17.82	8	0	0	1	3	3	2	5.47	3.19	NA
WGS0801	32	79	32	15.3	4	3.69	16.29	6	2	0	3	4	3	3	6.32	4.89	NA
WGS0802	31	77	35.7	10.3	1	5.1	16.5	5	0	0	1	5	3	3	5.63	4.53	NA
WGS0803	31	124	53.3	13.5	1	6.22	17.04	7	0	0	1	5	3	3	7.11	5.86	NA
WGS0804	36	69.7	24.3	14	4	3.76	20.51	6	2	1	3	2	2	2	6.74	5.22	NA
WGS0805	36	69.3	26.7	14.2	3	4.03	18.63	6	2	0	3	2	2	2	5.61	4.13	NA
WGS0806	28	48.7	24	7.7	4	2.11	9.43	5	3	1	10	5	3	3	0.97	0.71	NA
WGS0807	35	75	28.7	10.3	1	3.58	14.34	6	0	4	5	4	3	2	7.81	5.99	NA
WGS0808	50	85.7	24	16.8	7	3.33	16.12	8	4	0	5	2	2	2	5.26	4.15	NA
WGS0809	41	76.3	25.7	10.5	5	3.35	17.75	6	4	0	5	2	2	2	6.84	5.39	NA
WGS0810	33	67.3	24	14	6	2.39	14.66	5	3	1	8	2	2	2	2.91	2.21	NA
WGS0811	33	90.3	47.8	14.8	1	3.19	11.58	4	2	1	4	2	2	2	4.03	2.73	NA
WGS0812	37	75.7	30	7.5	5	3.07	11.77	5	16	3	23	2	2	2	2.05	1.45	NA
WGS0813	48	92.7	26.7	14	3	4.48	15.01	8	2	0	3	2	2	2	5.05	3.26	NA
WGS0814	31	68.3	31.7	11.8	2	3.73	12.62	5	0	0	1	4	3	2	5.26	4.11	NA
WGS0815	30	63	28.7	12	1	3.91	16.64	5	0	4	5	3	3	2	4.58	3.04	NA
WGS0816	57	95.3	20.3	15.2	5	5.64	23.76	10	5	1	6	2	2	2	7.82	4.41	NA
WGS0817	26	40	20.7	6	5	2.14	11	4	2	5	13	5	3	3	1.7	1.34	NA
WGS0818	32	86.7	36.3	10.2	1	4.03	17.7	6	2	1	4	3	3	2	6.03	4.9	NA
WGS0819	48	91.3	23.7	17.5	3	6.18	25.66	9	0	0	1	5	3	3	13.15	8.01	NA
WGS0820	35	101.3	43.3	17.8	3	4.34	23.73	6	0	0	1	5	3	2	8.75	7.08	NA
WGS0821	44	82.7	26	18.7	4	6.11	29.17	8	0	0	1	2	2	2	12.6	8.91	NA
WGS0822	41	96	28	16	2	5.77	18.86	7	1	0	2	2	2	2	6.11	4.28	NA
WGS0823	53	114.7	26	16	1	6.43	19.69	10	0	0	1	2	2	2	7.53	5.78	NA
WGS0824	67	127.3	16	11	1	6.98	23.52	10	0	0	1	5	3	2	8.15	5.36	NA
WGS0825	67	131.3	20.7	11	1	6.02	23.18	10	0	0	1	5	3	2	7.38	5.85	NA
WGS0826	70	134.3	18	18	1	6.49	24.34	11	3	0	4	2	2	2	8.83	5.75	NA
WGS0827	67	133	28	20	1	6.57	21.84	11	1	0	2	2	2	3	6.09	3.62	NA
WGS0828	55	112.3	21.7	22	2	5.65	12.08	10	1	0	2	2	2	2	6.3	5.05	NA
WGS0829	55	107	25.3	21.3	2	4.69	10.97	9	1	0	2	2	2	2	7.51	6.29	NA
WGS0830	45	95	26.7	15.8	3	5.69	27.05	9	0	0	1	3	2	2	13.07	9.47	NA
WGS0831	31	79.7	34.7	10	1	3.98	20.16	6	0	0	1	3	3	2	3.83	2.77	NA
WGS0832	45	103	29.7	16.7	5	6.32	34.16	10	2	0	3	3	3	3	14.48	10.42	NA
WGS0833	33	83.3	34.3	15.7	5	4.27	22.3	5	1	0	2	2	2	2	5.2	3.38	NA
WGS0834	43	83.3	26.7	16	1	5.85	25.97	8	0	0	1	5	3	3	10.05	7.21	NA
WGS0835	NA	95.3	30	19.2	2	5.27	22.05	8	1	0	2	2	2	3	7.86	5.46	NA
WGS0836	80	121.3	20	16.7	6	7.3	27.11	11	0	0	1	3	2	2	9.37	5.18	NA
WGS0837	80	124.7	24	18.7	6	8.79	30.93	11	0	0	1	2	2	2	11.2	4.8	NA
WGS0838	49	98.3	23.7	19.2	1	5.5	20.14	9	0	0	1	2	2	2	10.64	8.92	NA
WGS0839	33	70	34	7.5	4	2.73	12.01	5	5	1	13	4	3	3	2.72	2.09	NA
WGS0840	32	74.3	36.7	15.2	2	4.26	12.84	5	1	0	2	4	3	3	5.98	4.81	NA
WGS0841	28	55.7	25.7	8.5	3	3.21	12.98	5	1	1	3	4	3	3	3.21	2.38	NA
WGS0842	24	56.2	32.5	7	3	2.49	11.89	4	1	1	6	4	3	2	1.87	1.48	NA
WGS0843	32	53.7	25.3	12.3	1	3.72	17.74	5	1	4	7	4	3	3	3.68	2.15	NA
WGS0844	26	64	34	6.5	1	3.29	14.84	4	0	4	4	2	2	2	2.67	1.53	NA
WGS0845	28	44.7	20.7	8.8	1	3.03	13.32	5	0	0	1	2	2	2	4.48	3.44	NA
WGS0846	27	46.7	18	8.3	3	3.15	14.12	4	0	4	4	4	3	3	3.46	2.36	NA
WGS0847	33	94	39.3	16.8	3	3.99	16.56	6	0	0	1	5	3	3	7.84	5.42	NA
WGS0848	31	66	31	9	1	2.99	12.59	6	0	1	2	4	3	3	3.58	2.57	NA
WGS0849	26	51.7	26.3	7.2	2	2.42	10.33	4	0	3	4	3	3	3	2.06	1.6	NA
WGS0850	26	49.7	24.3	7	3	3.35	12.66	5	1	12	29	5	3	3	1.85	1.37	NA
WGS0851	32	54.7	23.3	9.8	4	3.64	13.41	5	0	2	3	5	3	2	4.38	3.57	NA
WGS0852	32	72.7	35	10.5	6	3.64	14.84	4	0	0	1	5	3	2	4.55	2.9	NA
WGS0853	32	67	34	14.5	3	3.98	13.71	4	1	0	2	3	3	3	4.58	3.37	NA
WGS0854	36	68	32	10.8	3	5.14	22.55	6	0	0	1	4	3	3	7.04	4.97	NA
WGS0855	55	88.3	23.7	17.8	3	6.94	18.69	9	2	0	3	2	2	2	7.99	6.39	NA
WGS0856	NA	83.7	22	14.2	7	4.33	13.66	7	2	1	4	2	2	2	4.99	3.49	NA
WGS0857	32	61.3	27.7	8.7	3	3.03	15.59	6	0	0	1	2	2	2	4.1	3.18	NA
WGS0858	32	59.3	24	11.8	6	3.13	13.57	5	5	1	7	2	2	2	2.23	1.82	NA
WGS0859	42	83	21.3	18.7	7	4.74	16.87	7	2	0	3	2	2	2	5.62	3.71	NA
WGS0860	33	89.7	38	9.7	1	5.64	12.92	6	0	0	1	5	3	3	4.25	3.05	NA
WGS0861	27	47.3	23.5	10.8	2	3.18	11.69	5	0	0	1	2	2	2	3.34	2.36	NA
WGS0862	28	70.3	26.7	15.3	2	4.29	13.36	6	0	0	1	5	3	3	6.71	4.2	NA
WGS0863	80	146.3	36.7	43	3	9.12	29.27	12	0	0	1	2	2	2	13.17	5.75	NA
WGS0864	66	129.3	27.3	18.3	1	8.16	29.35	11	0	0	1	2	2	2	12.37	8.65	NA
WGS0865	80	153	34.7	40	3	7.61	24.81	11	0	0	1	2	2	2	8.34	4.38	NA
WGS0866	NA	167	25	28.3	1	8.71	36.8	14	0	0	1	4	3	2	24.15	14.48	NA
WGS0867	56	146	34	24.3	2	6.14	19.7	11	2	0	3	4	3	3	11.92	9.31	NA
WGS0868	61	131.7	22.7	14	7	5.31	16.76	10	3	0	4	2	2	2	5.48	3.64	NA
WGS0869	55	115	21	16	7	5.08	15.05	9	2	0	3	2	2	2	5.49	3.99	NA
WGS0870	57	119	25.7	16.7	4	6.81	22.7	10	0	0	1	5	3	3	8.01	5.01	NA
WGS0871	49	116.7	26.7	16.7	6	5.3	17.7	9	2	0	3	2	2	2	7.15	5.44	NA
WGS0872	55	118.7	29	15.7	8	5.83	17.17	9	2	0	3	4	3	3	5.91	4.57	NA
WGS0873	53	115.7	27	11	3	5.76	18.05	9	3	0	4	2	2	2	6.35	4.83	NA
WGS0874	54	93.7	23	13	7	4.85	13.65	8	2	0	3	2	2	2	3.76	2.78	NA
WGS0875	44	101	29.3	17	4	5.48	23.11	9	2	0	3	2	2	2	10.86	8.3	NA
WGS0876	28	61.3	24	7.5	4	2.78	11.12	5	2	4	8	5	3	3	1.72	1.52	NA
WGS0877	35	74.7	31.7	11	1	4.72	17.47	7	0	0	1	5	3	2	8.57	6.52	NA
WGS0878	36	81.3	39	14.7	3	5.05	15.26	5	0	0	1	2	2	2	9.48	7.18	NA
WGS0879	37	61.7	27.7	15.5	4	3.79	13.66	5	3	0	4	3	2	2	4.44	3.31	NA
WGS0880	32	61	28	12	4	4.8	13.5	4	3	0	4	4	3	3	5.06	3.99	NA
WGS0881	38	77.3	34.7	12.3	1	4.65	17.74	7	0	0	1	5	3	3	5.51	4.09	NA
WGS0882	45	87	31	15	3	6.4	21.45	9	0	0	1	4	3	3	11.78	8.74	NA
WGS0883	47	72.3	24.3	13	4	5.03	21.11	9	0	0	1	2	2	2	6.87	4.9	NA
WGS0884	27	55.3	25.7	8.7	1	3.92	15.9	5	0	0	1	5	3	3	4.2	2.89	NA
WGS0885	41	80.7	33.7	12	2	3.93	16.21	8	1	0	2	5	3	2	8.59	6.34	NA
WGS0886	48	64.7	21.3	14.7	7	6.04	23.56	7	0	0	1	3	2	2	11.69	8.51	NA
WGS0887	41	65.3	24	11.9	1	5.4	22.32	7	0	0	1	5	3	3	10.79	8.38	NA
WGS0888	43	73.3	21.7	14.8	1	5.36	20.33	9	0	0	1	2	2	2	11.04	8.95	NA
WGS0889	33	72.3	29	11.5	4	4.37	23.81	8	0	0	1	3	3	2	10.55	7.61	NA
WGS0890	43	77	23.7	14.3	1	5.58	22.07	8	1	0	2	2	2	2	9.43	6.09	NA
WGS0891	32	83.3	40.7	11.3	1	4.86	15.18	5	0	0	1	5	3	2	4.09	3.25	NA
WGS0892	26	43.7	16.3	6	1	2.58	10.71	3	2	2	5	2	2	3	1.3	1.05	NA
WGS0893	30	44.7	25	9.2	1	3.34	18.99	4	0	3	4	2	2	2	4.55	3.21	NA
WGS0894	44	77.3	24.7	13.8	1	4.46	20.88	8	0	0	1	2	2	2	7.83	5.27	NA
WGS0895	45	71.3	25.3	21.5	3	7.48	21.07	7	1	0	2	2	2	3	16.89	12.55	NA
WGS0896	NA	64	25.3	11.9	1	4.7	16.23	8	1	0	2	2	2	2	7.33	6.56	NA
WGS0897	40	85	33.7	15	1	5.45	20.24	7	0	0	1	2	2	2	12.5	11.61	NA
WGS0898	41	91.7	26.3	14.3	1	5.26	17.1	8	0	0	1	2	2	2	10.84	8.59	NA
WGS0899	NA	54.3	21	19.3	2	7.51	28.62	7	0	0	1	2	2	2	17.88	13.11	NA
WGS0900	NA	51	31.3	5	4	2.37	8.33	4	4	5	24	4	3	3	0.68	0.4	NA
WGS0901	37	66.3	34.3	14.3	2	5.48	17.68	6	0	0	1	3	3	3	7.87	5.2	NA
WGS0902	28	70.7	31.7	11	1	4.07	18.06	7	0	0	1	5	3	3	4.34	2.08	NA
WGS0903	NA	64	39	9.5	1	2.86	13.35	6	0	0	1	2	2	2	6.2	3.14	NA
WGS0904	NA	87.3	34	18.3	3	5.79	16.61	7	0	0	1	2	2	2	11.4	8.82	NA
WGS0905	NA	53.3	23.7	7.3	1	3.18	15.31	6	0	0	1	4	3	2	4.66	4.59	NA
WGS0906	NA	62	25	14.8	1	5.47	20.29	6	0	0	1	2	2	3	4.93	3.87	NA
WGS0907	NA	76.7	45	11.7	1	4.76	19.52	6	0	0	1	2	2	2	7.15	5.67	NA
WGS0908	NA	64.7	26.3	15.3	3	4.04	16.86	7	0	0	1	5	3	3	4.58	2.9	NA
WGS0909	NA	70	25.7	17.7	4	4.58	24.34	7	0	0	1	2	2	2	9.89	7.61	NA
WGS0910	NA	77	24	18.6	1	5.83	26.7	8	1	0	2	2	2	2	20.12	16.3	NA
WGS0911	NA	69	30.3	13.8	1	4.48	20.41	5	1	0	2	2	2	2	5.27	3.66	NA
WGS0912	33	62	32	12.5	1	5.24	21.94	6	0	0	1	4	3	3	7.07	5.27	NA
WGS0913	NA	45.3	17	8.2	1	4.33	14.45	7	0	0	1	2	2	2	6.02	4.5	NA
WGS0914	NA	56.3	13.3	9.8	1	6.26	20.71	9	0	0	1	5	3	3	2.83	0.24	NA
WGS0915	38	53	15.7	11.3	1	7.72	34.03	8	0	0	1	2	2	2	13.75	9.39	NA
WGS0916	40	55.3	16	12.7	1	7.24	25.17	8	0	0	1	3	3	2	9.96	6.7	NA
WGS0917	45	72.3	20.3	15.7	1	5.18	17.62	9	0	0	1	2	2	2	10.17	7.96	NA
WGS0918	41	47	21.7	20.7	3	5.38	19.82	7	0	0	1	3	2	2	11.23	7.47	NA
WGS0919	41	50.7	26	18.7	3	3.93	17.36	6	0	0	1	2	2	2	9.93	6.58	NA
WGS0920	41	46.3	21.3	18.4	3	5.04	17.63	7	1	0	2	2	2	2	10.9	7.76	NA
WGS0921	NA	48	22	19.5	3	5.45	18.54	8	0	0	1	2	2	2	9.31	6.55	NA
WGS0922	42	50.3	26.3	19	1	5.18	18.03	6	0	0	1	3	2	2	10.33	8.16	NA
WGS0923	45	24.5	18.2	32.8	1	11.42	13.89	5	0	0	1	3	2	2	7.17	1.76	NA
WGS0924	37	41.2	20	13.2	1	5.48	18.28	6	0	0	1	2	2	2	7.65	5.88	NA
WGS0925	40	57.7	26	17.8	1	8.82	19.33	5	0	0	1	2	2	2	6.69	3.68	NA
WGS0926	30	26	18.5	6.3	1	2.8	12.34	3	2	0	3	2	2	2	2.69	2.02	NA
WGS0927	48	40.5	20.5	10.9	2	5.35	15.53	10	0	0	1	2	2	3	NA	NA	NA
WGS0928	34	37.7	19	11	1	5.03	18.76	5	1	0	2	2	2	2	5.8	4.53	NA
WGS0929	38	51.3	23.7	13.8	1	5.81	16.65	6	0	0	1	2	2	2	7.8	6.5	NA
WGS0930	43	56.3	24.7	12.2	1	5.58	24.33	7	0	0	1	5	3	3	9.33	6.45	NA
WGS0931	43	50	20.7	9.8	1	6.83	21.52	8	1	0	2	5	3	3	10.68	6.7	NA
WGS0932	46	56.7	19.3	15.2	1	7.27	31.76	9	0	0	1	2	2	2	15.89	12.08	NA
WGS0933	49	29.3	15.7	15.7	1	4.07	16.37	8	0	0	1	2	2	3	8.05	6.16	NA
WGS0934	55	51.3	13.3	14.2	1	7.44	24.25	8	1	0	2	2	2	2	4.59	2.9	NA
WGS0935	49	24	11.8	16.2	2	5.67	15.03	7	0	0	1	2	2	3	7.69	6.3	NA
WGS0936	56	66.3	17.3	12.3	1	9.65	29.37	10	2	0	3	4	3	3	17.36	9.49	NA
WGS0937	48	67	17.7	17.5	2	6.66	23.08	9	0	0	1	2	2	2	8.54	5.5	NA
WGS0938	43	57.7	20.7	18	1	7.5	21.67	8	2	0	3	2	2	2	13.92	10.1	NA
WGS0939	49	61.7	18.3	17.3	1	6.35	21.7	7	2	0	3	2	2	2	13.24	9.32	NA
WGS0940	51	67.3	20.3	18.8	1	6.9	24.27	8	1	0	2	2	2	2	16.42	10.47	NA
WGS0941	51	39	15	20.1	3	7.28	23.01	8	1	0	2	2	2	2	11.54	7.58	NA
WGS0942	NA	63	21.2	11.2	2	5.18	15.77	9	0	0	1	2	2	2	6.74	4.23	NA
